来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
亚洲市场,513390,纳指100ETF,1.718,2.57%,13194.86,165938,1800,1.6872,25-05-12,1.7122,25-05-13,0.34%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,0.65%,博时基金,,
亚洲市场,159696,纳指ETF易方达,1.422,2.67%,24025.46,224282,500,1.3967,25-05-12,1.4174,25-05-13,0.32%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,0.60%,易方达,,
亚洲市场,513650,标普500ETF基金,1.527,1.46%,6901.2,233073,0,1.5145,25-05-12,1.5234,25-05-13,0.24%,会员,会员,标普500,0.72%,-,开放申购,-,开放赎回,0.75%,南方基金,,
亚洲市场,159655,标普ETF,1.541,1.52%,21437.47,218414,2800,1.5299,25-05-12,1.5394,25-05-13,0.10%,会员,会员,标普500,0.72%,0.50%,开放申购,0.50%,开放赎回,0.75%,华夏基金,,
亚洲市场,161126,标普医疗保健LOF,1.769,-0.67%,1338.16,5934,-74,1.8273,25-05-12,1.7740,25-05-13,-0.28%,-,-,标普500医疗保健等权重指数,-2.97%,1.20%,限100,1.50%,开放赎回,1.00%,易方达,,
亚洲市场,160140,美国REIT精选LOF,1.272,-0.39%,1001.52,14820,-57,1.292,25-05-12,1.2757,25-05-13,-0.29%,-,-,道琼斯美国精选REIT指数,-1.23%,1.20%,限300,1.50%,开放赎回,1.00%,南方基金,,
亚洲市场,513360,教育ETF,0.518,0.00%,10347.41,116521,-7050,0.5171,25-05-12,0.5196,25-05-13,-0.31%,-,-,中证全球中国教育主题指数,0.58%,0.50%,开放申购,0.50%,开放赎回,0.65%,博时基金,,
亚洲市场,513350,标普油气ETF,0.937,3.19%,12503.14,72075,-1200,0.9113,25-05-12,0.9406,25-05-13,-0.38%,-,-,标普石油天然气勘探及生产,3.32%,0.5%,开放申购,0.5%,开放赎回,0.60%,富国基金,,
亚洲市场,161130,纳斯达克100LOF,3.445,2.44%,1542.45,9513,-142,3.4125,25-05-12,3.4605,25-05-13,-0.45%,会员,会员,纳斯达克100,1.58%,1.20%,限100,1.50%,开放赎回,0.60%,易方达,,
亚洲市场,159518,标普油气ETF,0.896,2.99%,14051.79,107733,-2400,0.8724,25-05-12,0.9005,25-05-13,-0.50%,-,-,标普石油天然气勘探及生产,3.32%,0.50%,开放申购,0.5%,开放赎回,0.60%,嘉实基金,,
亚洲市场,161125,标普500LOF,2.572,1.06%,1241.24,19385,-97,2.5728,25-05-12,2.5880,25-05-13,-0.62%,会员,会员,标普500,0.72%,1.20%,限100,1.50%,开放赎回,1.00%,易方达,,
亚洲市场,501225,全球芯片LOF T+1,1.423,2.74%,981.92,11093,-15,1.4127,25-05-12,1.4345,25-05-13,-0.80%,-,-,全球芯片,-,1.50%,限1千,1.50%,开放赎回,1.40%,景顺长城,,
亚洲市场,161128,标普信息科技LOF,4.761,2.85%,6500.9,33168,-235,4.7119,25-05-12,4.8081,25-05-13,-0.98%,-,-,标普500信息科技指数,2.25%,1.20%,限100,1.50%,开放赎回,1.00%,易方达,,
亚洲市场,164824,印度基金LOF,1.509,0.33%,11265.04,150483,-32,1.5353,25-05-12,1.5279,25-05-13,-1.24%,会员,会员,印度ETP指数,-,1.20%,暂停申购,1.50%,开放赎回,1.40%,工银瑞信,,
